CDC	CHEFLIEU	REG	DEP	COM	AR	CT	TNCC	ARTMAJ	NCC	ARTMIN	NCCENR
	0	82	69	149	1		1		OULLINS		Oullins
	0	03	973	62	2		0		PAPAICHTON		Papaichton
	0	82	69	152	1		0		PIERRE-BENITE		Pierre-Bénite
	0	82	69	153	1		0		POLEYMIEUX-AU-MONT-D'OR		Poleymieux-au-Mont-d'Or
	0	02	972	19	4		2	(LE)	PRECHEUR	(Le)	Prêcheur
	0	82	69	163	1		0		QUINCIEUX		Quincieux
	0	03	973	01	1		0		REGINA		Régina
	0	03	973	09	1		0		REMIRE-MONTJOLY		Remire-Montjoly
	0	82	69	286	1		0		RILLIEUX-LA-PAPE		Rillieux-la-Pape
	0	02	972	20	3		0		RIVIERE-PILOTE		Rivière-Pilote
	0	02	972	21	3		0		RIVIERE-SALEE		Rivière-Salée
	0	02	972	22	2		2	(LE)	ROBERT	(Le)	Robert
	0	82	69	168	1		0		ROCHETAILLEE-SUR-SAONE		Rochetaillée-sur-Saône
	0	03	973	10	1		0		ROURA		Roura
	0	82	69	191	1		0		SAINT-CYR-AU-MONT-D'OR		Saint-Cyr-au-Mont-d'Or
	0	82	69	194	1		0		SAINT-DIDIER-AU-MONT-D'OR		Saint-Didier-au-Mont-d'Or
	0	02	972	26	3		0		SAINTE-ANNE		Sainte-Anne
	0	82	69	202	1		0		SAINTE-FOY-LES-LYON		Sainte-Foy-lès-Lyon
	0	03	973	58	1		0		SAINT-ELIE		Saint-Élie
	0	02	972	27	3		0		SAINTE-LUCE		Sainte-Luce
	0	02	972	28	2		0		SAINTE-MARIE		Sainte-Marie
	0	02	972	23	3		0		SAINT-ESPRIT		Saint-Esprit
	0	82	69	199	1		0		SAINT-FONS		Saint-Fons
	0	82	69	204	1		0		SAINT-GENIS-LAVAL		Saint-Genis-Laval
	0	82	69	205	1		0		SAINT-GENIS-LES-OLLIERES		Saint-Genis-les-Ollières
	0	03	973	08	1		0		SAINT-GEORGES		Saint-Georges
	0	82	69	207	1		0		SAINT-GERMAIN-AU-MONT-D'OR		Saint-Germain-au-Mont-d'Or
	0	02	972	24	1		0		SAINT-JOSEPH		Saint-Joseph
	0	82	69	290	1		0		SAINT-PRIEST		Saint-Priest
	0	82	69	233	1		0		SAINT-ROMAIN-AU-MONT-D'OR		Saint-Romain-au-Mont-d'Or
	0	82	69	292	1		0		SATHONAY-CAMP		Sathonay-Camp
	0	82	69	293	1		0		SATHONAY-VILLAGE		Sathonay-Village
